path,backend,d,rounds,basis,logical_states,n_chains,shots
ibm_kingston/d9_r7/job_3,ibm_kingston,9,7,X,0;1,4,8192
ibm_kingston/d9_r7/job_4,ibm_kingston,9,7,Z,0;1,4,2048
ibm_kingston/d9_r7/job_5,ibm_kingston,9,7,Z,0;1,5,8192
ibm_kingston/d9_r7/job_6,ibm_kingston,9,7,Z,0;1,5,8192
ibm_kingston/d9_r9/job_1,ibm_kingston,9,9,X,0;1,5,2048
ibm_kingston/d9_r9/job_2,ibm_kingston,9,9,X,0;1,6,8192
ibm_kingston/d9_r9/job_3,ibm_kingston,9,9,X,0;1,4,8192
ibm_kingston/d9_r9/job_4,ibm_kingston,9,9,Z,0;1,5,8192
ibm_kingston/d9_r9/job_5,ibm_kingston,9,9,Z,0;1,5,8192
ibm_kingston/d9_r9/job_6,ibm_kingston,9,9,Z,0;1,5,2048
ibm_kingston/d9_r9/job_7,ibm_kingston,9,9,Z,0;1,4,8192
ibm_kingston/d9_r9/job_8,ibm_kingston,9,9,Z,0;1,6,8192
ibm_pittsburgh/d11_r1/job_1,ibm_pittsburgh,11,1,X,0;1,4,2048
ibm_pittsburgh/d11_r1/job_2,ibm_pittsburgh,11,1,X,0;1,4,2048
ibm_pittsburgh/d11_r1/job_3,ibm_pittsburgh,11,1,X,0;1,5,8192
ibm_pittsburgh/d11_r1/job_4,ibm_pittsburgh,11,1,X,0;1,5,8192
ibm_pittsburgh/d11_r1/job_5,ibm_pittsburgh,11,1,Z,0;1,4,2048
ibm_pittsburgh/d11_r1/job_6,ibm_pittsburgh,11,1,Z,0;1,4,8192
ibm_pittsburgh/d11_r1/job_7,ibm_pittsburgh,11,1,Z,0;1,2,8192
ibm_pittsburgh/d11_r1/job_8,ibm_pittsburgh,11,1,Z,0;1,4,8192
ibm_pittsburgh/d11_r11/job_1,ibm_pittsburgh,11,11,X,0;1,4,2048
ibm_pittsburgh/d11_r11/job_2,ibm_pittsburgh,11,11,X,0;1,4,2048
ibm_pittsburgh/d11_r11/job_3,ibm_pittsburgh,11,11,X,0;1,4,8192
ibm_pittsburgh/d11_r11/job_4,ibm_pittsburgh,11,11,X,0;1,1,8192
ibm_pittsburgh/d11_r11/job_5,ibm_pittsburgh,11,11,X,0;1,5,8192
ibm_pittsburgh/d11_r11/job_6,ibm_pittsburgh,11,11,Z,0;1,5,2048
ibm_pittsburgh/d11_r11/job_7,ibm_pittsburgh,11,11,Z,0;1,4,8192
ibm_pittsburgh/d11_r11/job_8,ibm_pittsburgh,11,11,Z,0;1,4,8192
ibm_pittsburgh/d11_r11/job_9,ibm_pittsburgh,11,11,Z,0;1,2,8192
ibm_pittsburgh/d11_r3/job_1,ibm_pittsburgh,11,3,X,0;1,4,2048
ibm_pittsburgh/d11_r3/job_2,ibm_pittsburgh,11,3,X,0;1,5,2048
ibm_pittsburgh/d11_r3/job_3,ibm_pittsburgh,11,3,X,0;1,5,8192
ibm_pittsburgh/d11_r3/job_4,ibm_pittsburgh,11,3,X,0;1,3,8192
ibm_pittsburgh/d11_r3/job_5,ibm_pittsburgh,11,3,X,0;1,2,8192
ibm_pittsburgh/d11_r3/job_6,ibm_pittsburgh,11,3,Z,0;1,5,2048
ibm_pittsburgh/d11_r3/job_7,ibm_pittsburgh,11,3,Z,0;1,4,8192
ibm_pittsburgh/d11_r3/job_8,ibm_pittsburgh,11,3,Z,0;1,4,8192
ibm_pittsburgh/d11_r3/job_9,ibm_pittsburgh,11,3,Z,0;1,2,8192
ibm_pittsburgh/d11_r5/job_1,ibm_pittsburgh,11,5,X,0;1,4,2048
ibm_pittsburgh/d11_r5/job_2,ibm_pittsburgh,11,5,X,0;1,4,2048
ibm_pittsburgh/d11_r5/job_3,ibm_pittsburgh,11,5,X,0;1,5,8192
ibm_pittsburgh/d11_r5/job_4,ibm_pittsburgh,11,5,X,0;1,4,8192
ibm_pittsburgh/d11_r5/job_5,ibm_pittsburgh,11,5,X,0;1,1,8192
ibm_pittsburgh/d11_r5/job_6,ibm_pittsburgh,11,5,Z,0;1,5,2048
ibm_pittsburgh/d11_r5/job_7,ibm_pittsburgh,11,5,Z,0;1,4,8192
ibm_pittsburgh/d11_r5/job_8,ibm_pittsburgh,11,5,Z,0;1,4,8192
ibm_pittsburgh/d11_r5/job_9,ibm_pittsburgh,11,5,Z,0;1,2,8192
ibm_pittsburgh/d11_r7/job_1,ibm_pittsburgh,11,7,X,0;1,4,2048
ibm_pittsburgh/d11_r7/job_2,ibm_pittsburgh,11,7,X,0;1,4,2048
ibm_pittsburgh/d11_r7/job_3,ibm_pittsburgh,11,7,X,0;1,5,8192
ibm_pittsburgh/d11_r7/job_4,ibm_pittsburgh,11,7,X,0;1,5,8192
ibm_pittsburgh/d11_r7/job_5,ibm_pittsburgh,11,7,Z,0;1,4,2048
ibm_pittsburgh/d11_r7/job_6,ibm_pittsburgh,11,7,Z,0;1,4,8192
ibm_pittsburgh/d11_r7/job_7,ibm_pittsburgh,11,7,Z,0;1,5,8192
ibm_pittsburgh/d11_r7/job_8,ibm_pittsburgh,11,7,Z,0;1,1,8192
ibm_pittsburgh/d11_r9/job_1,ibm_pittsburgh,11,9,X,0;1,4,2048
ibm_pittsburgh/d11_r9/job_2,ibm_pittsburgh,11,9,X,0;1,5,2048
ibm_pittsburgh/d11_r9/job_3,ibm_pittsburgh,11,9,X,0;1,4,8192
ibm_pittsburgh/d11_r9/job_4,ibm_pittsburgh,11,9,X,0;1,2,8192
ibm_pittsburgh/d11_r9/job_5,ibm_pittsburgh,11,9,X,0;1,4,8192
ibm_pittsburgh/d11_r9/job_6,ibm_pittsburgh,11,9,Z,0;1,4,2048
ibm_pittsburgh/d11_r9/job_7,ibm_pittsburgh,11,9,Z,0;1,3,8192
ibm_pittsburgh/d11_r9/job_8,ibm_pittsburgh,11,9,Z,0;1,4,8192
ibm_pittsburgh/d11_r9/job_9,ibm_pittsburgh,11,9,Z,0;1,3,8192
ibm_pittsburgh/d3_r1/job_1,ibm_pittsburgh,3,1,X,0;1,10,2048
ibm_pittsburgh/d3_r1/job_2,ibm_pittsburgh,3,1,X,0;1,10,2048
ibm_pittsburgh/d3_r1/job_3,ibm_pittsburgh,3,1,X,0;1,10,8192
ibm_pittsburgh/d3_r1/job_4,ibm_pittsburgh,3,1,Z,0;1,9,4096
ibm_pittsburgh/d3_r1/job_5,ibm_pittsburgh,3,1,Z,0;1,10,2048
ibm_pittsburgh/d3_r1/job_6,ibm_pittsburgh,3,1,Z,0;1,10,8192
ibm_pittsburgh/d3_r3/job_1,ibm_pittsburgh,3,3,X,0;1,10,2048
ibm_pittsburgh/d3_r3/job_2,ibm_pittsburgh,3,3,X,0;1,10,2048
ibm_pittsburgh/d3_r3/job_3,ibm_pittsburgh,3,3,X,0;1,10,8192
ibm_pittsburgh/d3_r3/job_4,ibm_pittsburgh,3,3,Z,0;1,9,4096
ibm_pittsburgh/d3_r3/job_5,ibm_pittsburgh,3,3,Z,0;1,10,2048
ibm_pittsburgh/d3_r3/job_6,ibm_pittsburgh,3,3,Z,0;1,10,8192
ibm_pittsburgh/d3_r5/job_1,ibm_pittsburgh,3,5,Z,0;1,9,4096
ibm_pittsburgh/d3_r7/job_1,ibm_pittsburgh,3,7,Z,0;1,9,4096
ibm_pittsburgh/d5_r1/job_1,ibm_pittsburgh,5,1,X,0;1,10,2048
ibm_pittsburgh/d5_r1/job_2,ibm_pittsburgh,5,1,X,0;1,10,2048
ibm_pittsburgh/d5_r1/job_3,ibm_pittsburgh,5,1,X,0;1,10,8192
ibm_pittsburgh/d5_r1/job_4,ibm_pittsburgh,5,1,Z,0;1,9,4096
ibm_pittsburgh/d5_r1/job_5,ibm_pittsburgh,5,1,Z,0;1,10,2048
ibm_pittsburgh/d5_r1/job_6,ibm_pittsburgh,5,1,Z,0;1,10,8192
ibm_pittsburgh/d5_r3/job_1,ibm_pittsburgh,5,3,X,0;1,10,2048
ibm_pittsburgh/d5_r3/job_2,ibm_pittsburgh,5,3,X,0;1,10,2048
ibm_pittsburgh/d5_r3/job_3,ibm_pittsburgh,5,3,X,0;1,10,8192
ibm_pittsburgh/d5_r3/job_4,ibm_pittsburgh,5,3,Z,0;1,9,4096
ibm_pittsburgh/d5_r3/job_5,ibm_pittsburgh,5,3,Z,0;1,10,2048
ibm_pittsburgh/d5_r3/job_6,ibm_pittsburgh,5,3,Z,0;1,10,8192
ibm_pittsburgh/d5_r5/job_1,ibm_pittsburgh,5,5,X,0;1,10,2048
ibm_pittsburgh/d5_r5/job_2,ibm_pittsburgh,5,5,X,0;1,10,2048
ibm_pittsburgh/d5_r5/job_3,ibm_pittsburgh,5,5,X,0;1,10,8192
ibm_pittsburgh/d5_r5/job_4,ibm_pittsburgh,5,5,Z,0;1,9,4096
ibm_pittsburgh/d5_r5/job_5,ibm_pittsburgh,5,5,Z,0;1,10,2048
ibm_pittsburgh/d5_r5/job_6,ibm_pittsburgh,5,5,Z,0;1,10,8192
ibm_pittsburgh/d5_r7/job_1,ibm_pittsburgh,5,7,Z,0;1,9,4096
ibm_pittsburgh/d7_r1/job_1,ibm_pittsburgh,7,1,X,0;1,8,2048
ibm_pittsburgh/d7_r1/job_2,ibm_pittsburgh,7,1,X,0;1,9,2048
ibm_pittsburgh/d7_r1/job_3,ibm_pittsburgh,7,1,X,0;1,2,8192
ibm_pittsburgh/d7_r1/job_4,ibm_pittsburgh,7,1,X,0;1,8,8192
ibm_pittsburgh/d7_r1/job_5,ibm_pittsburgh,7,1,Z,0;1,8,4096
ibm_pittsburgh/d7_r1/job_6,ibm_pittsburgh,7,1,Z,0;1,8,2048
ibm_pittsburgh/d7_r1/job_7,ibm_pittsburgh,7,1,Z,0;1,9,8192
ibm_pittsburgh/d7_r1/job_8,ibm_pittsburgh,7,1,Z,0;1,1,8192
ibm_pittsburgh/d7_r3/job_1,ibm_pittsburgh,7,3,X,0;1,7,2048
ibm_pittsburgh/d7_r3/job_2,ibm_pittsburgh,7,3,X,0;1,9,2048
ibm_pittsburgh/d7_r3/job_3,ibm_pittsburgh,7,3,X,0;1,2,8192
ibm_pittsburgh/d7_r3/job_4,ibm_pittsburgh,7,3,X,0;1,8,8192
ibm_pittsburgh/d7_r3/job_5,ibm_pittsburgh,7,3,Z,0;1,8,4096
ibm_pittsburgh/d7_r3/job_6,ibm_pittsburgh,7,3,Z,0;1,7,2048
ibm_pittsburgh/d7_r3/job_7,ibm_pittsburgh,7,3,Z,0;1,8,8192
ibm_pittsburgh/d7_r3/job_8,ibm_pittsburgh,7,3,Z,0;1,2,8192
ibm_pittsburgh/d7_r5/job_1,ibm_pittsburgh,7,5,X,0;1,7,2048
ibm_pittsburgh/d7_r5/job_2,ibm_pittsburgh,7,5,X,0;1,8,2048
ibm_pittsburgh/d7_r5/job_3,ibm_pittsburgh,7,5,X,0;1,2,8192
ibm_pittsburgh/d7_r5/job_4,ibm_pittsburgh,7,5,X,0;1,8,8192
ibm_pittsburgh/d7_r5/job_5,ibm_pittsburgh,7,5,Z,0;1,8,4096
ibm_pittsburgh/d7_r5/job_6,ibm_pittsburgh,7,5,Z,0;1,8,2048
ibm_pittsburgh/d7_r5/job_7,ibm_pittsburgh,7,5,Z,0;1,7,8192
ibm_pittsburgh/d7_r5/job_8,ibm_pittsburgh,7,5,Z,0;1,3,8192
ibm_pittsburgh/d7_r7/job_1,ibm_pittsburgh,7,7,X,0;1,8,2048
ibm_pittsburgh/d7_r7/job_2,ibm_pittsburgh,7,7,X,0;1,8,2048
ibm_pittsburgh/d7_r7/job_3,ibm_pittsburgh,7,7,X,0;1,8,8192
ibm_pittsburgh/d7_r7/job_4,ibm_pittsburgh,7,7,X,0;1,2,8192
ibm_pittsburgh/d7_r7/job_5,ibm_pittsburgh,7,7,Z,0;1,8,4096
ibm_pittsburgh/d7_r7/job_6,ibm_pittsburgh,7,7,Z,0;1,8,4096
ibm_pittsburgh/d7_r7/job_7,ibm_pittsburgh,7,7,Z,0;1,8,2048
ibm_pittsburgh/d7_r7/job_8,ibm_pittsburgh,7,7,Z,0;1,1,8192
ibm_pittsburgh/d7_r7/job_9,ibm_pittsburgh,7,7,Z,0;1,9,8192
ibm_pittsburgh/d9_r1/job_1,ibm_pittsburgh,9,1,X,0;1,6,2048
ibm_pittsburgh/d9_r1/job_2,ibm_pittsburgh,9,1,X,0;1,6,2048
ibm_pittsburgh/d9_r1/job_3,ibm_pittsburgh,9,1,X,0;1,4,8192
ibm_pittsburgh/d9_r1/job_4,ibm_pittsburgh,9,1,X,0;1,1,8192
ibm_pittsburgh/d9_r1/job_5,ibm_pittsburgh,9,1,X,0;1,5,8192
ibm_pittsburgh/d9_r1/job_6,ibm_pittsburgh,9,1,Z,0;1,5,2048
ibm_pittsburgh/d9_r1/job_7,ibm_pittsburgh,9,1,Z,0;1,4,8192
ibm_pittsburgh/d9_r1/job_8,ibm_pittsburgh,9,1,Z,0;1,6,8192
ibm_pittsburgh/d9_r3/job_1,ibm_pittsburgh,9,3,X,0;1,5,2048
ibm_pittsburgh/d9_r3/job_2,ibm_pittsburgh,9,3,X,0;1,6,2048
ibm_pittsburgh/d9_r3/job_3,ibm_pittsburgh,9,3,X,0;1,5,8192
ibm_pittsburgh/d9_r3/job_4,ibm_pittsburgh,9,3,X,0;1,5,8192
ibm_pittsburgh/d9_r3/job_5,ibm_pittsburgh,9,3,Z,0;1,7,2048
ibm_pittsburgh/d9_r3/job_6,ibm_pittsburgh,9,3,Z,0;1,4,8192
ibm_pittsburgh/d9_r3/job_7,ibm_pittsburgh,9,3,Z,0;1,6,8192
ibm_pittsburgh/d9_r5/job_1,ibm_pittsburgh,9,5,X,0;1,5,2048
ibm_pittsburgh/d9_r5/job_2,ibm_pittsburgh,9,5,X,0;1,5,2048
ibm_pittsburgh/d9_r5/job_3,ibm_pittsburgh,9,5,X,0;1,5,8192
ibm_pittsburgh/d9_r5/job_4,ibm_pittsburgh,9,5,X,0;1,5,8192
ibm_pittsburgh/d9_r5/job_5,ibm_pittsburgh,9,5,Z,0;1,7,2048
ibm_pittsburgh/d9_r5/job_6,ibm_pittsburgh,9,5,Z,0;1,5,8192
ibm_pittsburgh/d9_r5/job_7,ibm_pittsburgh,9,5,Z,0;1,5,8192
ibm_pittsburgh/d9_r7/job_1,ibm_pittsburgh,9,7,X,0;1,6,2048
ibm_pittsburgh/d9_r7/job_2,ibm_pittsburgh,9,7,X,0;1,6,2048
ibm_pittsburgh/d9_r7/job_3,ibm_pittsburgh,9,7,X,0;1,6,8192
ibm_pittsburgh/d9_r7/job_4,ibm_pittsburgh,9,7,X,0;1,4,8192
ibm_pittsburgh/d9_r7/job_5,ibm_pittsburgh,9,7,Z,0;1,5,2048
ibm_pittsburgh/d9_r7/job_6,ibm_pittsburgh,9,7,Z,0;1,5,8192
ibm_pittsburgh/d9_r7/job_7,ibm_pittsburgh,9,7,Z,0;1,5,8192
ibm_pittsburgh/d9_r9/job_1,ibm_pittsburgh,9,9,X,0;1,6,2048
ibm_pittsburgh/d9_r9/job_2,ibm_pittsburgh,9,9,X,0;1,5,2048
ibm_pittsburgh/d9_r9/job_3,ibm_pittsburgh,9,9,X,0;1,5,8192
ibm_pittsburgh/d9_r9/job_4,ibm_pittsburgh,9,9,X,0;1,5,8192
ibm_pittsburgh/d9_r9/job_5,ibm_pittsburgh,9,9,Z,0;1,4,8192
ibm_pittsburgh/d9_r9/job_6,ibm_pittsburgh,9,9,Z,0;1,4,8192
ibm_pittsburgh/d9_r9/job_7,ibm_pittsburgh,9,9,Z,0;1,6,2048
ibm_pittsburgh/d9_r9/job_8,ibm_pittsburgh,9,9,Z,0;1,6,8192
ibm_pittsburgh/d9_r9/job_9,ibm_pittsburgh,9,9,Z,0;1,4,8192
